ilosc 	 alpha 	 beta 	 pj_max 	 inst 	 time 	 wynik 	 regeneracja
 10 	 0.2 	 0.1 	 20 	 	 7	0	1640.64	8
 10 	 0.2 	 0.1 	 20 	 	 8	0	2625.4	9
 10 	 0.2 	 0.1 	 20 	 	 9	0.016	3740.26	12
 10 	 0.2 	 0.1 	 20 	 	 10	0	1989.65	6
 10 	 0.2 	 0.1 	 20 	 	 11	0	2895.61	7
 10 	 0.2 	 0.1 	 20 	 	 12	0	1623.97	5
 10 	 0.2 	 0.1 	 20 	 	 13	0	1929.56	4
 10 	 0.2 	 0.1 	 20 	 	 14	0	2103.49	5
 10 	 0.2 	 0.1 	 20 	 	 15	0	3035.18	9
 10 	 0.2 	 0.1 	 20 	 	 16	0	2200.28	7
 10 	 0.2 	 0.1 	 20 	 	 17	0	3207.25	12
 10 	 0.2 	 0.1 	 20 	 	 18	0.015	3650.37	3
 10 	 0.2 	 0.1 	 20 	 	 19	0	1388	4
 10 	 0.2 	 0.1 	 20 	 	 20	0	3208.67	9
 10 	 0.2 	 0.1 	 20 	 	 21	0	3530.42	9
 10 	 0.2 	 0.1 	 20 	 	 22	0	1320.26	7
 10 	 0.2 	 0.1 	 20 	 	 23	0	1455.92	6
 10 	 0.2 	 0.1 	 20 	 	 24	0	2962.47	9
 10 	 0.2 	 0.1 	 20 	 	 25	0	3521.24	13
 10 	 0.2 	 0.1 	 20 	 	 26	0	3265.68	12
 10 	 0.2 	 0.1 	 20 	 	 27	0.016	2312.85	2
 10 	 0.2 	 0.1 	 20 	 	 28	0	1715.29	6
 10 	 0.2 	 0.1 	 20 	 	 29	0	2450.28	7
 10 	 0.2 	 0.1 	 20 	 	 30	0	3749.41	9
 10 	 0.2 	 0.1 	 20 	 	 31	0	2533.92	10
 10 	 0.2 	 0.1 	 20 	 	 32	0	2976.58	12
 10 	 0.2 	 0.1 	 20 	 	 33	0	2659.18	7
 10 	 0.2 	 0.1 	 20 	 	 34	0	2576.76	10
 10 	 0.2 	 0.1 	 20 	 	 35	0	934.479	2
 10 	 0.2 	 0.1 	 20 	 	 36	0	1689.39	5
 10 	 0.2 	 0.1 	 20 	 	 37	0	3172.21	10
 10 	 0.2 	 0.1 	 20 	 	 38	0	1377.1	6
 10 	 0.2 	 0.1 	 20 	 	 39	0	2232.53	3
 10 	 0.2 	 0.1 	 20 	 	 40	0	1865.41	5
 10 	 0.2 	 0.1 	 20 	 	 41	0	1989.18	9
 10 	 0.2 	 0.1 	 20 	 	 42	0	565.281	4
